"Ac-No","Name","sTime","Verify Mode","Machine","formattedDate"
150083,150083,"25/04/2024 8:40 AM",FP/PW/RF/FACE,1,"25/04/2024 08:40:00"
203478,203478,"25/04/2024 8:43 AM",FP/PW/RF/FACE,1,"25/04/2024 08:43:00"
100214,100214,"25/04/2024 8:44 AM",FP/PW/RF/FACE,1,"25/04/2024 08:44:00"
140806,140806,"25/04/2024 8:44 AM",FP/PW/RF/FACE,1,"25/04/2024 08:44:00"
10130,10130,"25/04/2024 8:44 AM",FP/PW/RF/FACE,1,"25/04/2024 08:44:00"
100224,100224,"25/04/2024 8:45 AM",FP/PW/RF/FACE,1,"25/04/2024 08:45:00"
100216,100216,"25/04/2024 8:45 AM",FP/PW/RF/FACE,1,"25/04/2024 08:45:00"
140760,140760,"25/04/2024 8:46 AM",FP/PW/RF/FACE,1,"25/04/2024 08:46:00"
10060,10060,"25/04/2024 8:46 AM",FP/PW/RF/FACE,1,"25/04/2024 08:46:00"
159865,159865,"25/04/2024 8:46 AM",FP/PW/RF/FACE,1,"25/04/2024 08:46:00"
114483,114483,"25/04/2024 8:48 AM",FP/PW/RF/FACE,1,"25/04/2024 08:48:00"
190327,190327,"25/04/2024 8:48 AM",FP/PW/RF/FACE,1,"25/04/2024 08:48:00"
100213,100213,"25/04/2024 8:49 AM",FP/PW/RF/FACE,1,"25/04/2024 08:49:00"
10008,10008,"25/04/2024 8:50 AM",FP/PW/RF/FACE,1,"25/04/2024 08:50:00"
191453,191453,"25/04/2024 8:51 AM",FP/PW/RF/FACE,1,"25/04/2024 08:51:00"
162890,162890,"25/04/2024 8:51 AM",FP/PW/RF/FACE,1,"25/04/2024 08:51:00"
10147,10147,"25/04/2024 8:52 AM",FP/PW/RF/FACE,1,"25/04/2024 08:52:00"
10041,10041,"25/04/2024 8:52 AM",FP/PW/RF/FACE,1,"25/04/2024 08:52:00"
100226,100226,"25/04/2024 8:54 AM",FP/PW/RF/FACE,1,"25/04/2024 08:54:00"
103270,103270,"25/04/2024 8:56 AM",FP/PW/RF/FACE,1,"25/04/2024 08:56:00"
100225,100225,"25/04/2024 8:56 AM",FP/PW/RF/FACE,1,"25/04/2024 08:56:00"
199723,199723,"25/04/2024 9:00 AM",FP/PW/RF/FACE,1,"25/04/2024 09:00:00"
