"Ac-No","Name","sTime","Verify Mode","Machine"
"20022","20022","04/05/2024 6:22 PM","FP/PW/RF/FACE","2"
"100205","100205","04/05/2024 6:49 PM","FP/PW/RF/FACE","2"
"20014","20014","04/05/2024 6:51 PM","FP/PW/RF/FACE","2"
"10175","10175","04/05/2024 7:05 PM","FP/PW/RF/FACE","2"
"20020","20020","04/05/2024 7:17 PM","FP/PW/RF/FACE","2"
"100227","100227","04/05/2024 8:05 PM","FP/PW/RF/FACE","2"
"100199","100199","04/05/2024 8:49 PM","FP/PW/RF/FACE","2"
"100227","100227","04/05/2024 11:54 PM","FP/PW/RF/FACE","2"
"187338","187338","05/05/2024 8:02 AM","FP/PW/RF/FACE","2"
"187338","187338","05/05/2024 8:02 AM","FP/PW/RF/FACE","2"
"187338","187338","05/05/2024 8:03 AM","FP/PW/RF/FACE","2"
"20013","20013","05/05/2024 9:22 AM","FP/PW/RF/FACE","2"
"20016","20016","05/05/2024 9:22 AM","FP/PW/RF/FACE","2"
"20006","20006","05/05/2024 9:22 AM","FP/PW/RF/FACE","2"
"100217","100217","05/05/2024 9:22 AM","FP/PW/RF/FACE","2"
"20012","20012","05/05/2024 9:22 AM","FP/PW/RF/FACE","2"
"20007","20007","05/05/2024 9:22 AM","FP/PW/RF/FACE","2"
"20007","20007","05/05/2024 9:22 AM","FP/PW/RF/FACE","2"
"20020","20020","05/05/2024 9:22 AM","FP/PW/RF/FACE","2"
"101492","101492","05/05/2024 9:23 AM","FP/PW/RF/FACE","2"
"100205","100205","05/05/2024 9:23 AM","FP/PW/RF/FACE","2"
"20004","20004","05/05/2024 9:23 AM","FP/PW/RF/FACE","2"
"20008","20008","05/05/2024 9:31 AM","FP/PW/RF/FACE","2"
"20014","20014","05/05/2024 9:48 AM","FP/PW/RF/FACE","2"
"20013","20013","05/05/2024 10:11 AM","FP/PW/RF/FACE","2"
"20019","20019","05/05/2024 11:33 AM","FP/PW/RF/FACE","2"
"20005","20005","05/05/2024 11:36 AM","FP/PW/RF/FACE","2"
"20017","20017","05/05/2024 11:41 AM","FP/PW/RF/FACE","2"
"20022","20022","05/05/2024 11:43 AM","FP/PW/RF/FACE","2"
"20006","20006","05/05/2024 3:13 PM","FP/PW/RF/FACE","2"
"100217","100217","05/05/2024 3:13 PM","FP/PW/RF/FACE","2"
"20020","20020","05/05/2024 4:12 PM","FP/PW/RF/FACE","2"
"20022","20022","05/05/2024 5:18 PM","FP/PW/RF/FACE","2"
"20014","20014","05/05/2024 5:24 PM","FP/PW/RF/FACE","2"
"20007","20007","05/05/2024 5:26 PM","FP/PW/RF/FACE","2"
"20016","20016","05/05/2024 5:54 PM","FP/PW/RF/FACE","2"
"101492","101492","05/05/2024 6:09 PM","FP/PW/RF/FACE","2"
"20017","20017","05/05/2024 6:17 PM","FP/PW/RF/FACE","2"
"10175","10175","05/05/2024 6:56 PM","FP/PW/RF/FACE","2"
"100199","100199","05/05/2024 7:04 PM","FP/PW/RF/FACE","2"
"187338","187338","06/05/2024 7:59 AM","FP/PW/RF/FACE","2"
"187338","187338","06/05/2024 8:01 AM","FP/PW/RF/FACE","2"
"20012","20012","06/05/2024 8:13 AM","FP/PW/RF/FACE","2"
"20012","20012","06/05/2024 8:13 AM","FP/PW/RF/FACE","2"
"100199","100199","06/05/2024 8:31 AM","FP/PW/RF/FACE","2"
"20008","20008","06/05/2024 8:40 AM","FP/PW/RF/FACE","2"
"20016","20016","06/05/2024 8:49 AM","FP/PW/RF/FACE","2"
"100217","100217","06/05/2024 8:51 AM","FP/PW/RF/FACE","2"
"20007","20007","06/05/2024 8:52 AM","FP/PW/RF/FACE","2"
"101492","101492","06/05/2024 8:54 AM","FP/PW/RF/FACE","2"
"10168","10168","06/05/2024 8:56 AM","FP/PW/RF/FACE","2"
"20006","20006","06/05/2024 8:56 AM","FP/PW/RF/FACE","2"
"100205","100205","06/05/2024 8:56 AM","FP/PW/RF/FACE","2"
"20013","20013","06/05/2024 8:57 AM","FP/PW/RF/FACE","2"
"20004","20004","06/05/2024 9:02 AM","FP/PW/RF/FACE","2"
"20020","20020","06/05/2024 9:03 AM","FP/PW/RF/FACE","2"
"20014","20014","06/05/2024 10:49 AM","FP/PW/RF/FACE","2"
"20019","20019","06/05/2024 11:05 AM","FP/PW/RF/FACE","2"
"20017","20017","06/05/2024 11:27 AM","FP/PW/RF/FACE","2"
"20022","20022","06/05/2024 12:05 PM","FP/PW/RF/FACE","2"
"100217","100217","06/05/2024 12:43 PM","FP/PW/RF/FACE","2"
"20019","20019","06/05/2024 1:06 PM","FP/PW/RF/FACE","2"
"20019","20019","06/05/2024 1:06 PM","FP/PW/RF/FACE","2"
"20013","20013","06/05/2024 1:36 PM","FP/PW/RF/FACE","2"
"20006","20006","06/05/2024 2:23 PM","FP/PW/RF/FACE","2"
"20007","20007","06/05/2024 2:23 PM","FP/PW/RF/FACE","2"
"20005","20005","06/05/2024 2:50 PM","FP/PW/RF/FACE","2"
"20005","20005","06/05/2024 2:50 PM","FP/PW/RF/FACE","2"
